Lat,Lon,Base,Hour,Day,Month,Year,Minute,cluster
40.7247,-73.562,B02598,13,16,4,2014,8,3
40.7617,-73.495,B02598,15,16,4,2014,5,3
40.7872,-73.5503,B02598,16,16,4,2014,13,3
40.7442,-73.6503,B02598,11,17,4,2014,10,3
40.7247,-73.5597,B02598,13,17,4,2014,42,3
40.7153,-73.6031,B02598,14,17,4,2014,59,3
40.8156,-73.2378,B02598,15,17,4,2014,38,3
40.7165,-73.6008,B02598,17,17,4,2014,52,3
40.7493,-73.6537,B02598,4,18,4,2014,2,3
40.7679,-73.5964,B02598,12,18,4,2014,36,3
40.7164,-73.6221,B02598,14,18,4,2014,59,3
40.7803,-73.5782,B02598,21,18,4,2014,47,3
40.7441,-73.6102,B02598,22,18,4,2014,34,3
40.7101,-73.5983,B02598,6,19,4,2014,39,3
40.7479,-73.3234,B02598,12,19,4,2014,1,3
40.7407,-73.6166,B02598,22,19,4,2014,13,3
42.1166,-72.0666,B02598,8,20,4,2014,32,3
40.6583,-73.5595,B02598,13,20,4,2014,32,3
40.906,-73.5453,B02598,20,20,4,2014,10,3
40.7457,-73.5174,B02598,20,20,4,2014,38,3
40.6633,-73.5791,B02598,20,20,4,2014,41,3
40.7236,-73.6413,B02598,6,21,4,2014,35,3
40.7485,-73.3149,B02598,10,21,4,2014,28,3
40.7989,-73.6639,B02598,18,21,4,2014,59,3
40.7358,-73.4415,B02598,19,21,4,2014,58,3
40.8024,-73.6467,B02598,22,21,4,2014,21,3
40.6533,-73.5567,B02598,7,22,4,2014,52,3
40.8001,-73.6634,B02598,9,22,4,2014,12,3
40.7844,-73.649,B02598,19,22,4,2014,0,3
41.1416,-73.362,B02598,12,23,4,2014,13,3
40.7681,-73.4168,B02598,14,23,4,2014,5,3
40.7272,-73.5985,B02598,15,23,4,2014,53,3
40.739,-73.6151,B02598,16,23,4,2014,39,3
40.7549,-73.4141,B02598,16,23,4,2014,41,3
40.7196,-73.6044,B02598,17,23,4,2014,19,3
40.7979,-73.6658,B02598,21,23,4,2014,15,3
40.7344,-73.5933,B02598,7,24,4,2014,8,3
40.7433,-73.6213,B02598,10,24,4,2014,35,3
40.8113,-73.4723,B02598,13,24,4,2014,59,3
40.7404,-73.6131,B02598,14,24,4,2014,46,3
40.8084,-73.6721,B02598,16,24,4,2014,3,3
40.7195,-73.5837,B02598,16,24,4,2014,44,3
40.7159,-73.6025,B02598,18,24,4,2014,50,3
40.6778,-73.4467,B02598,19,24,4,2014,12,3
40.8165,-73.6074,B02598,20,24,4,2014,10,3
40.7244,-73.6405,B02598,20,24,4,2014,26,3
41.1034,-73.4044,B02598,20,24,4,2014,49,3
40.7703,-73.632,B02598,20,24,4,2014,50,3
40.7433,-73.6343,B02598,21,24,4,2014,55,3
40.858,-73.4669,B02598,22,24,4,2014,52,3
40.8695,-73.4259,B02598,23,24,4,2014,31,3
40.7442,-73.5399,B02598,10,25,4,2014,21,3
40.7491,-73.6162,B02598,16,25,4,2014,55,3
40.755,-73.6304,B02598,17,25,4,2014,57,3
40.6239,-73.5986,B02598,18,25,4,2014,33,3
40.713,-73.6066,B02598,19,25,4,2014,6,3
40.7383,-73.6027,B02598,19,25,4,2014,50,3
40.7251,-73.6347,B02598,23,25,4,2014,8,3
41.1347,-73.2832,B02598,0,26,4,2014,3,3
40.7234,-73.6403,B02598,7,26,4,2014,36,3
40.6683,-73.4733,B02598,11,26,4,2014,18,3
40.7786,-73.542,B02598,12,26,4,2014,29,3
40.7456,-73.6062,B02598,12,26,4,2014,40,3
40.7383,-73.6026,B02598,13,26,4,2014,8,3
40.7491,-73.6194,B02598,15,26,4,2014,24,3
40.7838,-73.422,B02598,15,26,4,2014,53,3
